,Mission Date,Theater of Operations,lat1,long1,lat2,long2,year
17180,11/2/1943,EAST AFRICA,36.649608,10.121936,45.25,7.52,1943
17459,11/3/1943,MTO,40.608447,14.982760999999998,41.57,12.83,1943
17460,11/3/1943,MTO,40.608447,14.982760999999998,41.33,13.67,1943
17797,11/4/1943,MTO,40.62,14.9125,41.57,14.12,1943
17798,11/4/1943,MTO,40.62,14.9125,41.27,13.25,1943
17799,11/4/1943,MTO,40.62,14.9125,41.9,12.47,1943
17810,8/15/1944,PTO,-6.244444,155.38388899999998,-6.2,155.56666669999998,1944
18009,11/4/1943,MTO,36.649608,10.121936,42.47,12.4,1943
18013,11/5/1943,MTO,40.62,14.9125,41.62,14.15,1943
18016,11/5/1943,MTO,40.62,14.9125,41.33,13.67,1943
18020,11/5/1943,MTO,40.62,14.9125,41.48,13.82,1943
18022,11/5/1943,MTO,40.62,14.9125,41.27,13.25,1943
18023,11/5/1943,MTO,40.62,14.9125,45.0,12.0,1943
18315,11/6/1943,MTO,40.62,14.9125,41.47,13.9,1943
18323,11/6/1943,MTO,40.62,14.9125,41.33,13.67,1943
18325,11/6/1943,MTO,40.62,14.9125,41.33,9.0,1943
18330,11/6/1943,MTO,40.62,14.9125,46.3,9.37,1943
18344,11/7/1943,PTO,-6.244444,155.38388899999998,-6.283333333,155.75,1943
18346,11/7/1943,MTO,40.608447,14.982760999999998,39.87,18.37,1943
18347,11/7/1943,MTO,40.62,14.9125,42.8,10.13,1943
18349,11/7/1943,MTO,40.62,14.9125,41.9,12.47,1943
18643,11/8/1943,MTO,36.649608,10.121936,43.77,11.07,1943
18653,11/9/1943,MTO,40.62,14.9125,41.33,13.67,1943
18661,11/9/1943,MTO,40.62,14.9125,41.33,13.67,1943
18665,11/9/1943,EAST AFRICA,36.649608,10.121936,43.68,10.33,1943
18667,11/9/1943,EAST AFRICA,36.649608,10.121936,43.77,11.45,1943
18668,11/9/1943,EAST AFRICA,36.649608,10.121936,42.55,11.13,1943
18693,11/10/1943,MTO,40.62,14.9125,41.62,13.8,1943
18694,11/10/1943,MTO,40.62,14.9125,41.47,13.9,1943
18695,11/10/1943,MTO,40.62,14.9125,41.9,12.47,1943
18922,11/10/1943,MTO,36.649608,10.121936,44.35,9.13,1943
18938,11/11/1943,MTO,40.62,14.9125,41.33,13.67,1943
18941,11/11/1943,MTO,40.62,14.9125,41.55,13.95,1943
18942,11/11/1943,MTO,40.62,14.9125,41.62,13.8,1943
18945,11/11/1943,EAST AFRICA,36.649608,10.121936,43.88,11.12,1943
19200,11/12/1943,EAST AFRICA,36.649608,10.121936,43.77,11.45,1943
19223,11/12/1943,MTO,36.649608,10.121936,43.3,10.55,1943
19224,11/12/1943,MTO,36.649608,10.121936,42.45,11.22,1943
19247,11/13/1943,MTO,40.62,14.9125,41.33,13.67,1943
19251,11/13/1943,MTO,40.62,14.9125,41.33,13.67,1943
19253,11/13/1943,MTO,40.62,14.9125,41.48,13.7,1943
19256,11/13/1943,MTO,40.62,14.9125,42.02,12.52,1943
19262,11/13/1943,EAST AFRICA,36.649608,10.121936,43.42,6.03,1943
19263,11/13/1943,EAST AFRICA,36.649608,10.121936,43.67,7.18,1943
19893,11/16/1943,PTO,-6.244444,155.38388899999998,-6.746,155.685,1943
20047,11/18/1943,MTO,40.62,14.9125,42.1,11.78,1943
20325,11/19/1943,MTO,40.916667,14.4,41.53,13.88,1943
20326,11/19/1943,MTO,40.916667,14.4,41.53,13.88,1943
20642,11/22/1943,MTO,40.916667,14.4,42.1,11.78,1943
20645,11/22/1943,MTO,40.916667,14.4,41.2,13.57,1943
20646,11/22/1943,MTO,40.916667,14.4,42.1,11.78,1943
20647,11/22/1943,MTO,40.916667,14.4,41.48,13.7,1943
20902,11/22/1943,MTO,36.649608,10.121936,41.8,12.6,1943
20970,11/24/1943,MTO,40.62,14.9125,39.27,16.25,1943
20973,11/24/1943,MTO,40.916667,14.4,42.1,11.78,1943
20980,11/24/1943,MTO,40.916667,14.4,45.25,11.13,1943
20986,11/24/1943,EAST AFRICA,36.649608,10.121936,44.3,8.5,1943
21225,11/24/1943,MTO,36.649608,10.121936,44.4,8.95,1943
21226,11/24/1943,MTO,36.649608,10.121936,44.03,8.23,1943
21227,11/24/1943,MTO,36.649608,10.121936,45.07,7.68,1943
21288,11/26/1943,MTO,40.916667,14.4,41.68,13.05,1943
21290,11/26/1943,MTO,40.916667,14.4,42.1,11.78,1943
